clean_content,sentiment,label,score,text_length,word_count,at,thumbsUpCount,reviewCreatedVersion,appVersion
sangat bagus dgunakn saat ini,positif,2,5,29,5,2026-05-08 11:40:58,0,,
instragram kok gak kayak dulu gimana sih saya sampe ganti akun berulang kali setelah itu harus gak bisa di buka tolong instagramnya kayak yang dulu gimana sih ini instragramnya gak bisa mulu hei pengguna instagram saya udah beberapa kali ganti akun tetep aja gak bisa di buka gimana sih,negatif,0,1,286,49,2026-03-22 05:26:01,7,421.0.0.51.66,421.0.0.51.66
ig ny ko g bs di update ih kyk ig lma soalny gbs msang lgu di note,netral,1,2,66,17,2026-03-26 14:36:38,0,278.0.0.22.117,278.0.0.22.117
karna ini seru bangetttt,positif,2,5,24,4,2026-04-08 22:02:52,0,,
bagus bisa cari cuwan,positif,2,5,21,4,2026-01-02 11:32:28,0,,
knp saya tidak bisa masuk ig yaa,netral,1,2,32,7,2026-03-24 14:51:53,0,,
like bgt pokoknye,positif,2,5,17,3,2026-04-18 10:45:42,0,425.0.0.47.61,425.0.0.47.61
mantap tetap menikmati selalu keren,positif,2,5,35,5,2026-04-28 12:14:44,0,426.0.0.37.68,426.0.0.37.68
sering terjadi bug tolong di perbaiki,negatif,0,1,37,6,2026-04-24 15:55:48,0,278.0.0.22.117,278.0.0.22.117
oke mantab,positif,2,5,10,2,2025-12-13 13:39:33,0,409.0.0.48.170,409.0.0.48.170
ok dikit,netral,1,4,8,2,2026-02-13 21:22:30,0,416.0.0.47.66,416.0.0.47.66
memuaskan dan menyenangkan,positif,2,5,26,3,2026-03-09 09:07:02,0,,
ada bug di bagian highlight saya sudah hapus highlight light tapi masih ada dri akun lain,netral,1,2,89,16,2026-01-05 13:07:51,0,,
tolong instagram jangan sensitif akun ga kenapa aju banding kenapa sekarang hrus pke ktp gmn klo ga punya kann coba kembaliin ke dulu lagi instagram,netral,1,2,148,25,2026-01-22 20:20:45,0,410.1.0.63.71,410.1.0.63.71
saya suka bercerita disini,positif,2,5,26,4,2026-04-13 16:00:35,0,,
aplikasi yang sudah menemani sejak lama,netral,1,4,39,6,2026-03-16 16:12:38,0,,
ini berguna jg buat kita nonton hampir sama kayak tiktok,positif,2,5,56,10,2026-02-17 11:41:49,0,416.0.0.47.66,416.0.0.47.66
ig bodonggg padahal jaringan bagus pas di buka ke dalam ig nya malah kayak jaringan nge lag gak bisa di buka apa apa chet gak terkirim ig anj ini,negatif,0,1,145,29,2026-04-27 13:34:10,0,424.0.0.49.64,424.0.0.49.64
kenapa akun instagram saya tidak muncul tanda posting ulang padahal sudah saya update mohon di perbaiki,netral,1,2,103,16,2026-03-31 14:21:37,0,,
tolong dong ini instagram sekarang banyak ngelek nya ga bisa dm orang bales dm orang ga bisa scroll tolong perbaiki dong,netral,1,4,120,21,2026-04-26 09:56:21,1,401.0.0.48.79,401.0.0.48.79
hapus fitur promosi,negatif,0,1,19,3,2026-02-05 15:34:31,0,392.2.0.58.78,392.2.0.58.78
apk ini enak banget seru lah pokoknya gak bakalan nyesel,positif,2,5,56,10,2026-03-26 21:05:47,1,422.0.0.44.64,422.0.0.44.64
baguss bangettt,positif,2,5,15,2,2026-04-10 10:24:44,0,,
asoyy pokokna mahhh,positif,2,5,19,3,2026-02-10 11:36:15,0,415.1.0.46.76,415.1.0.46.76
semoga monetasi di ig ini bossmuda,positif,2,5,34,6,2026-01-13 13:00:01,0,411.0.0.23.257,411.0.0.23.257
apk nya bagus ko,netral,1,4,16,4,2026-02-08 12:59:38,0,,
instagram s new feature called instant is very unimportant and disrupts the comfort of every user if it is accidentally pressed especially for women who wear the hijab because they might not be wearing the hijab and accidentally pressed it in my opinion that is very bad,negatif,0,1,270,47,2026-05-20 07:49:01,0,,
bisa bisanya nge bug di ram gede padahal blm ada apk apa apa malah stuck anehhh,negatif,0,1,79,16,2026-04-25 00:10:47,1,413.0.0.41.84,413.0.0.41.84
gonta ganti menu pencarian perbarui fitur yang gk penting,negatif,0,1,57,9,2025-12-16 03:21:30,0,409.0.0.48.170,409.0.0.48.170
cintaa bangettttt,positif,2,5,17,2,2026-03-22 21:03:04,0,,
saya kasih bintang 1 karna gak ada cwek yang bales dm saya,negatif,0,1,58,12,2025-12-21 13:28:23,0,,
baik dan bagus buat metsos,positif,2,5,26,5,2025-12-08 05:04:07,0,,
sangat sangat sangat sangat sangat sangat jelek,negatif,0,1,47,7,2026-03-23 11:07:42,0,,
kenapa engak bisa di download ya,positif,2,5,32,6,2026-04-05 07:04:04,0,,
kenapa akun utama saya kok ilang sih min,netral,1,2,40,8,2026-04-04 13:06:42,2,401.0.0.48.79,401.0.0.48.79
bahasa nya bahasa inggris,netral,1,4,25,4,2026-03-21 14:22:44,0,,
bug nya nyblin,negatif,0,1,14,3,2026-05-19 03:12:29,0,428.0.0.47.67,428.0.0.47.67
bagua tàpi kyak longing gitu terus banyak iklan nya,positif,2,5,51,9,2025-12-25 12:03:22,1,,
keren sich,positif,2,5,10,2,2026-05-22 08:39:20,0,430.0.0.53.80,430.0.0.53.80
adain fitur hapus semua la untuk postingn ulang biar bisa kehapus sekaligus,netral,1,4,75,12,2026-03-18 15:32:02,0,416.0.0.47.66,416.0.0.47.66
makin diperbarui makin rusak gabisa liat story ig ekslusif malah ngulang terus dari awal trs knp lemot bgt tiap mau ganti profil highlight,negatif,0,1,138,23,2025-12-24 05:23:37,2,410.0.0.53.71,410.0.0.53.71
gabisa live pdahal fllowers udh seribu lebih,negatif,0,1,44,7,2026-02-25 15:21:58,0,417.0.0.54.77,417.0.0.54.77
selalu gagal untuk memakai aplikasi pengubah atau templet flass ii,negatif,0,1,66,10,2026-04-22 18:52:06,0,425.0.0.47.61,425.0.0.47.61
kecewa karena setelah update instagram lirik lagu di catatan ig nya stuck atau berhenti,negatif,0,1,87,14,2026-02-25 14:24:01,0,417.0.0.54.77,417.0.0.54.77
sebenarnya izin klarifikasi bahwasanya untuk login akun di handphone padahal untuk password nya sudah benar dan sudah saya pakai berkali kali bahkan sudah saya pakai di laptop bisa login tapi untuk login lagi ke handphone yang di laptop riwayat login nya sudah saya hapus tidak bisa bagaimana tanggapan nya instagram,netral,1,2,316,50,2026-03-11 10:04:40,7,419.0.0.49.71,419.0.0.49.71
selalu keren,positif,2,5,12,2,2026-05-17 00:55:55,0,391.0.0.42.82,391.0.0.42.82
hai kevin saya disini ada beberapa keluhan teknis yg ada di aplikasi kalian 1 masih ada beberapa lagu yg masih belum masuk daftar lagu di notes ig story ig karena itu pengalaman saya sangat terganggu oleh kendala itu 2 masih ada bug tentang sinyal setelah beberapa update trakhir padahal sinyal kita bagus dan video yg di putar masih loading meskipun memiliki data for all nya bagus banget tapi karena ada nya kurang kenyamanan untuk pengalaman saya semoga berkembang terus ya app nya,positif,2,5,484,82,2026-05-14 13:10:34,0,,
bagus bangttt,positif,2,5,13,2,2026-01-24 12:50:24,0,413.0.0.41.84,413.0.0.41.84
jos,positif,2,5,3,1,2026-05-20 23:36:51,0,,
udah bagus namun tolong lebih diperbaiki lagi selalu gagal saat menggunakannya,positif,2,5,78,11,2026-04-30 11:21:37,0,427.0.0.47.73,427.0.0.47.73
nih ig kenapa saya harus bulak balik hapus download jaringan saya bagus tapi pas di ig malah ngeleg saya coba main game bagus bagus aja tolong perbaiki lagi,negatif,0,1,156,28,2026-04-26 13:28:40,0,,
mau login ke akun lama aja dipersulit ada verifikasi wajah segala pdhl jelas2 itu akun saya muka saya pun tetap gagal mending dibuang aja fitur ini ngeselin banget,negatif,0,1,163,28,2026-03-04 22:59:40,0,,
tolong yaa di perbaiki lagi saya tidak melanggar ketentuan apapun tapi 2 akun saya di suspend oleh ig salah satu nya akun baru yang baru saya buat jadi tolong di perbaiki lagii masa setiap buat ig harus di suspend teruss sih,negatif,0,1,224,41,2026-01-14 07:42:57,11,411.0.0.23.257,411.0.0.23.257
aplikasi yang sangat menarik,positif,2,5,28,4,2026-05-18 02:08:35,0,429.1.0.44.70,429.1.0.44.70
kan saya mempunyai 2 akun malah kena peringatan padahal ga melanggar tolong perbaiki,negatif,0,1,84,13,2026-04-16 02:14:03,0,,
tolong min segera di fix menu icon baru saja dihapus itu pemulihannya ga ada padahal dulu ada sekarang adanya cuma buat sticker cutout sama hapus kulihat sih sebenernya masih ada icon yg dibawahnya tapi ga bisa di scroll,netral,1,4,220,38,2026-05-18 18:38:48,0,429.1.0.44.70,429.1.0.44.70
